71.;06/11/100/0000290/2017;NMK;2017-02-03;2017-02-03;;100/00135/17/1/210;2017-02-03;0.00;;74.63;0.00;74.63
72.;06/11/100/0000290/2017;WSV;2017-02-03;2017-02-03;40886;243/00011/17/X/210;2017-02-28;134.40;;0.00;0.00;134.40
73.;06/11/100/0000291/2017;KDP;2017-02-04;2017-02-04;;144/00012/17/A1/210;2017-02-04;336.00;;121.74;0.00;457.74
74.;06/11/100/0000291/2017;WSV;2017-02-04;2017-02-04;40902;243/00011/17/X/210;2017-02-28;134.40;;0.00;0.00;134.40
75.;06/11/100/0000292/2017;PMK;2017-02-04;2017-02-04;;100/00137/17/1/210;2017-02-04;700.00;;176.50;0.00;876.50
76.;06/11/100/0000292/2017;WSV;2017-02-04;2017-02-04;40903;243/00011/17/X/210;2017-02-28;134.40;;0.00;0.00;134.40
77.;06/11/100/0000293/2017;DNS;2017-02-06;2017-02-13;;155/00050/17/A1/210;2017-02-13;168.00;;0.00;0.00;168.00
78.;06/11/100/0000293/2017;PMD;2017-02-06;2017-02-13;;155/00050/17/A1/210;2017-02-13;100.80;;14.58;0.00;115.38
79.;06/11/100/0000294/2017;PMK;2017-02-06;2017-02-06;;100/00138/17/1/210;2017-02-06;770.00;;103.55;0.00;873.55
80.;06/11/100/0000295/2017;PMK;2017-02-06;2017-02-06;;100/00139/17/1/210;2017-02-06;931.00;;390.91;0.00;1321.91
81.;06/11/100/0000296/2017;WSV;2017-02-06;2017-02-06;40904;243/00011/17/X/210;2017-02-28;134.40;;0.00;0.00;134.40
82.;06/11/100/0000297/2017;PMK;2017-02-06;2017-02-06;;100/00140/17/1/210;2017-02-06;897.75;;180.44;0.00;1078.19
83.;06/11/100/0000298/2017;DMG;2017-02-06;2017-02-06;;120/00001/17/A1/210;2017-02-06;336.00;;0.00;0.00;336.00
84.;06/11/100/0000298/2017;WSV;2017-02-06;2017-02-06;40919;243/00011/17/X/210;2017-02-28;134.40;;0.00;0.00;134.40
85.;06/11/100/0000299/2017;PMK;2017-02-06;2017-02-06;;100/00143/17/1/210;2017-02-06;1236.90;;1096.81;0.00;2333.71
86.;06/11/100/0000300/2017;PMK;2017-02-06;2017-02-06;;100/00141/17/1/210;2017-02-06;630.00;;164.94;0.00;794.94
87.;06/11/100/0000300/2017;WSV;2017-02-06;2017-02-06;40927;243/00011/17/X/210;2017-02-28;319.20;;353.57;0.00;672.77
88.;06/11/100/0000301/2017;PMK;2017-02-06;2017-02-06;;100/00144/17/1/210;2017-02-06;700.00;;177.31;0.00;877.31
89.;06/11/100/0000301/2017;WSV;2017-02-06;2017-02-06;40934;243/00011/17/X/210;2017-02-28;50.40;;0.00;0.00;50.40
90.;06/11/100/0000302/2017;PMK;2017-02-06;2017-02-13;;100/00171/17/1/210;2017-02-13;787.50;;136.47;0.00;923.97
91.;06/11/100/0000303/2017;NMS;2017-02-06;2017-02-07;;144/00013/17/A1/210;2017-02-07;50.40;;0.00;0.00;50.40
92.;06/11/100/0000303/2017;WSV;2017-02-06;2017-02-07;40937;243/00011/17/X/210;2017-02-28;134.40;;0.00;0.00;134.40
93.;06/11/100/0000304/2017;DNS;2017-02-06;2017-02-10;;155/00036/17/A1/210;2017-02-10;201.60;;0.00;0.00;201.60
94.;06/11/100/0000304/2017;PMD;2017-02-06;2017-02-10;;155/00036/17/A1/210;2017-02-10;100.80;;7.29;0.00;108.09
95.;06/11/100/0000305/2017;NMK;2017-02-06;2017-02-06;;100/00142/17/1/210;2017-02-06;0.00;;0.00;178.87;178.87
96.;06/11/100/0000306/2017;NMK;2017-02-06;2017-02-06;;100/00145/17/1/210;2017-02-06;0.00;;0.00;178.87;178.87
97.;06/11/100/0000307/2017;PMK;2017-02-07;2017-02-08;;100/00151/17/1/210;2017-02-08;743.75;;629.56;0.00;1373.31
98.;06/11/100/0000307/2017;WSV;2017-02-07;2017-02-08;41007;243/00011/17/X/210;2017-02-28;638.40;;166.82;0.00;805.22
99.;06/11/100/0000308/2017;VEC;2017-02-07;2017-02-09;41136;243/00011/17/X/210;2017-02-28;201.60;;165.10;0.00;366.70
100.;06/11/100/0000308/2017;WSV;2017-02-07;2017-02-09;41138;243/00011/17/X/210;2017-02-28;134.40;;0.00;0.00;134.40
101.;06/11/100/0000309/2017;DNS;2017-02-07;2017-02-10;;155/00035/17/A1/210;2017-02-10;0.00;;288.38;0.00;288.38
102.;06/11/100/0000309/2017;PMD;2017-02-07;2017-02-10;;155/00035/17/A1/210;2017-02-10;100.80;;14.58;0.00;115.38
103.;06/11/100/0000310/2017;VEC;2017-02-07;2017-02-07;40997;243/00011/17/X/210;2017-02-28;67.20;;794.45;0.00;861.65
