OTH-405 Zestawienie dokumentów magazynowych za okres od 2017-02-01 do 2017-02-28Oddzia³ (06) 210-LEXUS WARSZAWA-PULAWSKA (210), Dzia³ (21) 210 MAGAZYN LEXUSPodsumowania po dokumentach w³asnychWybrano dokumenty z fakturami/specyfikacjami sprzeda¿y i bez faktur/specyfikacji sprzeda¿y;;;;;;;;
Symb.dok.;Nr dokumentu;z dnia;Komórka organizacyjnaKontrahent;Nr dokumentuzakupowego/sprzeda¿y/zlecenia;;Iloœæpozycji;Wart. wgcen zak.;Wart. wgcen sprz.
RwZ;06/21/200/0000432/2017;2017-02-08;100-Serwis mechaniczny;Zl 06/11/100/0000319/2017;;1;42.94;74.03
RwZ;06/21/200/0000433/2017;2017-02-08;100-Serwis mechaniczny;Zl 06/11/100/0000320/2017;;1;43.48;74.97
RwZ;06/21/200/0000434/2017;2017-02-08;100-Serwis mechaniczny;Zl 06/11/100/0000324/2017;;10;411.90;809.16
RwZ;06/21/200/0000435/2017;2017-02-08;100-Serwis mechaniczny;Zl 06/11/100/0000321/2017;;3;103.71;315.43
RwZ;06/21/200/0000436/2017;2017-02-08;100-Serwis mechaniczny;Zl 06/11/100/0000324/2017;;2;304.59;458.95
RwZ;06/21/200/0000437/2017;2017-02-08;100-Serwis mechaniczny;Zl 06/11/100/0000322/2017;;3;100.40;303.86
RwZ;06/21/200/0000438/2017;2017-02-08;100-Serwis mechaniczny;Zl 06/11/100/0000322/2017;;1;2.43;3.42
RwZ;06/21/200/0000439/2017;2017-02-09;100-Serwis mechaniczny;Zl 06/11/100/0000314/2017;;1;1872.64;4928.00
RwZ;06/21/200/0000440/2017;2017-02-09;100-Serwis mechaniczny;Zl 06/11/100/0000314/2017;;1;14.58;14.97
RwZ;06/21/200/0000441/2017;2017-02-09;100-Serwis mechaniczny;Zl 06/11/100/0000316/2017;;1;1872.64;4928.00
RwZ;06/21/200/0000442/2017;2017-02-09;100-Serwis mechaniczny;Zl 06/11/100/0000329/2017;;7;259.14;577.06
RwZ;06/21/200/0000443/2017;2017-02-09;100-Serwis mechaniczny;Zl 06/11/100/0000328/2017;;9;269.87;642.49
RwZ;06/21/200/0000444/2017;2017-02-09;100-Serwis mechaniczny;Zl 06/11/100/0000327/2017;;7;259.14;577.06
RwZ;06/21/200/0000445/2017;2017-02-09;100-Serwis mechaniczny;Zl 06/11/100/0000332/2017;;6;246.03;381.58
RwZ;06/21/200/0000446/2017;2017-02-09;100-Serwis mechaniczny;Zl 06/11/100/0000327/2017;;1;2.28;9.81
RwZ;06/21/200/0000447/2017;2017-02-09;100-Serwis mechaniczny;Zl 06/11/100/0000326/2017;;2;353.57;415.96
RwZ;06/21/200/0000448/2017;2017-02-09;100-Serwis mechaniczny;Zl 06/11/100/0000308/2017;;2;165.10;220.14
RwZ;06/21/200/0000449/2017;2017-02-09;100-Serwis mechaniczny;Zl 06/11/100/0000333/2017;;4;143.32;383.71
RwZ;06/21/200/0000450/2017;2017-02-09;100-Serwis mechaniczny;Zl 06/11/100/0000338/2017;;1;36.19;67.52
RwZ;06/21/200/0000451/2017;2017-02-09;100-Serwis mechaniczny;Zl 06/11/100/0000332/2017;;1;2.28;9.81
RwZ;06/21/200/0000452/2017;2017-02-09;100-Serwis mechaniczny;Zl 06/11/100/0000336/2017;;1;7.29;7.49
RwZ;06/21/200/0000453/2017;2017-02-09;100-Serwis mechaniczny;Zl 06/11/100/0000338/2017;;1;2.12;9.70
RwZ;06/21/200/0000454/2017;2017-02-09;100-Serwis mechaniczny;Zl 06/11/100/0000316/2017;;1;7.29;7.49
RwZ;06/21/200/0000455/2017;2017-02-09;110-Serwis - blacharnia lakiernia;Zl 06/11/110/0000024/2017;;4;1551.48;2068.63
RwZ;06/21/200/0000456/2017;2017-02-09;100-Serwis mechaniczny;Zl 06/11/100/0000334/2017;;7;281.21;567.17
RwZ;06/21/200/0000457/2017;2017-02-09;100-Serwis mechaniczny;Zl 06/11/100/0000333/2017;;1;205.05;259.56
RwZ;06/21/200/0000458/2017;2017-02-09;100-Serwis mechaniczny;Zl 06/11/100/0000334/2017;;2;74.63;128.67
RwZ;06/21/200/0000459/2017;2017-02-09;100-Serwis mechaniczny;Zl 06/11/100/0000337/2017;;1;1872.64;4928.00
RwZ;06/21/200/0000460/2017;2017-02-09;100-Serwis mechaniczny;Zl 06/11/100/0000341/2017;;1;1872.64;4928.00
RwZ;06/21/200/0000461/2017;2017-02-09;100-Serwis mechaniczny;Zl 06/11/100/0000341/2017;;1;13.43;25.86
RwZ;06/21/200/0000462/2017;2017-02-09;100-Serwis mechaniczny;Zl 06/11/100/0000337/2017;;1;14.58;14.97
RwZ;06/21/200/0000463/2017;2017-02-09;100-Serwis mechaniczny;Zl 06/11/100/0000340/2017;;1;7.29;7.49
RwZ;06/21/200/0000464/2017;2017-02-10;100-Serwis mechaniczny;Zl 06/11/100/0000342/2017;;5;450.75;554.18
RwZ;06/21/200/0000465/2017;2017-02-10;100-Serwis mechaniczny;Zl 06/11/100/0000340/2017;;2;212.34;267.05
RwZ;06/21/200/0000466/2017;2017-02-10;100-Serwis mechaniczny;Zl 06/11/100/0000345/2017;;7;193.66;458.62
RwZ;06/21/200/0000467/2017;2017-02-10;100-Serwis mechaniczny;Zl 06/11/100/0000345/2017;;1;2.28;9.81
RwZ;06/21/200/0000468/2017;2017-02-10;100-Serwis mechaniczny;Zl 06/11/100/0000342/2017;;1;211.51;267.74
RwZ;06/21/200/0000469/2017;2017-02-10;100-Serwis mechaniczny;Zl 06/11/100/0000304/2017;;1;7.29;7.49
RwZ;06/21/200/0000470/2017;2017-02-10;100-Serwis mechaniczny;Zl 06/11/100/0000346/2017;;1;1872.64;4928.00
RwZ;06/21/200/0000471/2017;2017-02-10;100-Serwis mechaniczny;Zl 06/11/100/0000344/2017;;1;1596.21;2073.00
RwZ;06/21/200/0000472/2017;2017-02-10;100-Serwis mechaniczny;Zl 06/11/100/0000344/2017;;1;27.15;31.21
RwZ;06/21/200/0000473/2017;2017-02-10;100-Serwis mechaniczny;Zl 06/11/100/0000348/2017;;8;252.97;509.42
RwZ;06/21/200/0000474/2017;2017-02-10;100-Serwis mechaniczny;Zl 06/11/100/0000349/2017;;10;596.59;933.62
RwZ;06/21/200/0000475/2017;2017-02-10;100-Serwis mechaniczny;Zl 06/11/100/0000349/2017;;1;4.43;12.85
RwZ;06/21/200/0000476/2017;2017-02-10;100-Serwis mechaniczny;Zl 06/11/100/0000344/2017;;1;4.24;19.40
RwZ;06/21/200/0000477/2017;2017-02-10;100-Serwis mechaniczny;Zl 06/11/100/0000349/2017;;1;2.43;3.42
RwZ;06/21/200/0000478/2017;2017-02-11;100-Serwis mechaniczny;Zl 06/11/100/0000352/2017;;3;391.68;460.80
RwZ;06/21/200/0000479/2017;2017-02-11;100-Serwis mechaniczny;Zl 06/11/100/0000351/2017;;7;191.19;454.02
RwZ;06/21/200/0000480/2017;2017-02-13;100-Serwis mechaniczny;Zl 06/11/100/0000347/2017;;2;1879.93;4935.48
RwZ;06/21/200/0000481/2017;2017-02-13;100-Serwis mechaniczny;Zl 06/11/100/0000302/2017;;8;136.47;205.01
RwZ;06/21/200/0000482/2017;2017-02-13;100-Serwis mechaniczny;Zl 06/11/100/0000358/2017;;8;490.72;1017.68
RwZ;06/21/200/0000483/2017;2017-02-13;100-Serwis mechaniczny;Zl 06/11/100/0000359/2017;;11;322.97;725.15
RwZ;06/21/200/0000484/2017;2017-02-13;100-Serwis mechaniczny;Zl 06/11/100/0000359/2017;;1;87.86;109.82
RwZ;06/21/200/0000485/2017;2017-02-13;100-Serwis mechaniczny;Zl 06/11/100/0000359/2017;;2;395.44;657.74
RwZ;06/21/200/0000486/2017;2017-02-13;100-Serwis mechaniczny;Zl 06/11/100/0000357/2017;;3;391.68;460.80
RwZ;06/21/200/0000487/2017;2017-02-13;100-Serwis mechaniczny;Zl 06/11/100/0000359/2017;;1;17.16;23.00

Dealer Management System wer.4.14.554.0 Sporz¹dzi³: Administrator aplikacji 2017-06-27 12:57:34;;;;;strona 2 / 5;;;
